的,u,助词,744863,7.7946
了,u,助词,129617,1.3564
是,vl,联系动词,118382,1.2388
在,p,介词,115425,1.2079
和,c,连词,79845,0.8355
一,m,数词,78590,0.8224
这,r,代词,65143,0.6817
有,v,动词,53522,0.5601
他,r,代词,52908,0.5537
我,r,代词,52724,0.5517
也,d,副词,47034,0.4922
不,d,副词,46950,0.4913
就,d,副词,44145,0.462
着,u,助词,40596,0.4248
中,nd,方位名词,40105,0.4197
地,u,助词,39440,0.4127
说,v,动词,35047,0.3667
上,nd,方位名词,34850,0.3647
都,d,副词,34261,0.3585
人,n,名词,33915,0.3549
个,q,量词,31445,0.3291
把,p,介词,28786,0.3012
你,r,代词,28769,0.3011
种,q,量词,28587,0.2991
对,p,介词,28397,0.2972
而,c,连词,28397,0.2972
要,vu,能愿动词,27324,0.2859
我们,r,代词,26821,0.2807
又,d,副词,25682,0.2687
来,vd,趋向动词,25410,0.2659
一个,mq,数量,24497,0.2563
从,p,介词,23619,0.2472
年,nt,时间名词,21818,0.2283
到,v,动词,21665,0.2267
与,c,连词,21385,0.2238
它,r,代词,21038,0.2202
还,d,副词,20735,0.217
大,a,形容词,20050,0.2098
她,r,代词,19914,0.2084
两,m,数词,19340,0.2024
时,nt,时间名词,17995,0.1883
他们,r,代词,17783,0.1861
里,nd,方位名词,17774,0.186
等,u,助词,17336,0.1814
发展,v,动词,17307,0.1811
那,r,代词,17183,0.1798
很,d,副词,16774,0.1755
可以,vu,能愿动词,16724,0.175
使,v,动词,16470,0.1723
以,p,介词,16316,0.1707
所,u,助词,16191,0.1694
但,c,连词,15959,0.167
得,u,助词,14915,0.1561
去,v,动词,14914,0.1561
自己,r,代词,14793,0.1548
没有,v,动词,14544,0.1522
为,vl,联系动词,14499,0.1517
为,p,介词,14240,0.149
能,vu,能愿动词,13781,0.1442
看,v,动词,13755,0.1439
什么,r,代词,13585,0.1422
或,c,连词,13574,0.142
被,p,介词,13476,0.141
之,u,助词,13299,0.1392
三,m,数词,13208,0.1382
这个,r,代词,13201,0.1381
小,a,形容词,12687,0.1328
多,a,形容词,12028,0.1259
后,nd,方位名词,12026,0.1258
这样,r,代词,11980,0.1254
会,vu,能愿动词,11782,0.1233
好,a,形容词,11743,0.1229
社会,n,名词,11461,0.1199
由,p,介词,11367,0.1189
向,p,介词,11351,0.1188
进行,v,动词,11085,0.116
问题,n,名词,10899,0.1141
下,nd,方位名词,10737,0.1124
呢,u,助词,10391,0.1087
如,v,动词,10312,0.1079
